County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Ware                          16254                         3671                          358                           4479                          5                             8513                          1047                          219                           2170                          4                             3440                          110                           13                            83                            0                             206                           12159                         
Warren                        3105                          303                           75                            613                           0                             991                           654                           62                            597                           1                             1314                          10                            2                             16                            0                             28                            2333                          
Washington                    11002                         1779                          256                           2103                          11                            4149                          1824                          444                           1919                          13                            4200                          43                            12                            42                            1                             98                            8447                          
Wayne                         13496                         3408                          310                           4429                          6                             8153                          809                           85                            1145                          2                             2041                          107                           8                             75                            2                             192                           10386                         
Webster                       1433                          241                           66                            323                           0                             630                           241                           61                            169                           2                             473                           6                             0                             7                             0                             13                            1116                          
Wheeler                       2705                          669                           94                            655                           3                             1421                          295                           68                            283                           0                             646                           12                            3                             19                            1                             35                            2102                          
White                         14669                         4042                          482                           5227                          10                            9761                          588                           120                           964                           2                             1674                          191                           14                            143                           0                             348                           11783                         
Whitfield                     39588                         11057                         751                           9708                          21                            21537                         4220                          385                           3321                          11                            7937                          602                           40                            281                           1                             924                           30398                         
Wilcox                        3934                          993                           164                           939                           0                             2096                          573                           46                            233                           0                             852                           15                            3                             7                             0                             25                            2973                          
Wilkes                        5826                          1161                          88                            1320                          3                             2572                          961                           95                            788                           4                             1848                          34                            1                             22                            0                             57                            4477                          
Wilkinson                     5481                          1490                          81                            761                           1                             2333                          1005                          124                           763                           2                             1894                          35                            3                             13                            0                             51                            4278                          
Worth                         10724                         3401                          166                           2578                          7                             6152                          1001                          99                            916                           4                             2020                          54                            11                            42                            1                             108                           8280                          
Totals:                       5368410                       863089                        102766                        1120743                       2506                          2089104                       753766                        98417                         1020966                       4814                          1877963                       69198                         6533                          49249                         326                           125306                        4092373                       
