County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Chattooga,81.33018446,10050,14183,0.18,0.32,6.51,1.05,81.35,0.87,9.71,18.45,80.24,70.86,21.79,10.25,32419,16,24.55756892,18.87470916,-58.76,-61.79,-3.03,Rep,Rep,Rural,No,60.61
Cherokee,526.3618469,144830,190605,0.18,1.38,5.76,4.08,77.13,1.5,9.95,29.55,68.76,75.98,30.6,7.33,66320,42.5,20.5036594,20.19569266,-49.98,-39.21,10.77,Rep,Rep,Suburban,Yes,68.65
Clarke,1004.035235,51333,76848,0.17,1.87,26.46,4.01,56.2,1.83,9.46,70.22,28.14,66.8,15.77,8.09,34253,47,17.73500937,30.98193837,38.09,42.08,3.99,Dem,Dem,Urban,No,58.71
Clay,15.91769884,1434,2053,0.05,0.15,54.07,0.19,41.01,0.1,4.43,55.09,44.42,69.85,12.82,2.19,26250,14.6,31.17389187,16.02532879,10.31,10.67,0.36,Dem,Dem,Rural,No,67.66
Clayton,1866.36293,112344,194338,0.24,2.94,70.21,4.35,10.31,2.61,9.34,84.99,14.08,57.81,21.44,4.35,43311,26.9,13.62059916,26.32269551,70.88,70.91,0.03,Dem,Dem,Urban,Yes,53.46
Clinch,8.468921047,2864,4345,0.28,0.3,26.97,0.78,65.59,0.6,5.48,26.08,73.5,65.91,17.04,6.71,31963,19.9,22.46260069,19.51668585,-42.55,-47.42,-4.87,Rep,Rep,Rural,No,59.2
Cobb,2087.822118,393746,537659,0.22,3.37,26.44,5.67,54.29,2.7,7.31,56.34,42.02,73.23,20.23,7.19,65522,52.2,17.44191021,22.84291716,2.2,14.32,12.12,Dem,Dem,Suburban,Yes,66.04
Coffee,74.6774474,15214,25165,0.15,0.54,26.58,3.61,62.71,0.71,5.71,29.65,69.53,60.46,9.34,0.34,35202,21.3,19.96026227,23.0717266,-39.48,-39.88,-0.4,Rep,Rep,Rural,No,60.12
Colquitt,84.51162363,16083,25087,0.15,0.51,22.21,5.17,65.3,0.97,5.69,26.03,73.23,64.11,18.25,6.34,32902,19.1,23.19528042,21.34970303,-47.31,-47.2,0.11,Rep,Rep,Rural,No,57.77
Columbia,456.2790858,80579,107656,0.26,3.28,16.78,3.41,66.46,2.16,7.66,36.28,62.07,74.85,25.43,10.54,66333,45.6,18.78390429,20.75406851,-37.67,-25.79,11.88,Rep,Rep,Suburban,No,64.31
Cook,75.1056524,7035,10650,0.1,0.5,26.32,1.76,68.11,0.72,2.49,29.27,69.65,66.06,16.45,2.93,31390,20.8,21.68075117,21.6056338,-40.11,-40.38,-0.27,Rep,Rep,Rural,No,63.13
Coweta,298.0766178,76799,102262,0.13,1.18,14.78,2.66,68.14,1.28,11.83,31.52,67.06,75.1,25.18,9.35,61550,35.1,19.34149537,20.2010522,-42.3,-35.54,6.76,Rep,Rep,Suburban,Yes,65.75
Crawford,38.58536736,6102,8536,0.27,0.29,18.85,0.94,73.06,0.9,5.69,26.47,72.57,71.49,18.21,5.06,37062,19.3,23.66447985,17.7366448,-42.89,-46.1,-3.21,Rep,Rep,Rural,No,66.43
Crisp,85.85736298,8039,12560,0.1,0.63,40.49,0.77,53.34,0.68,3.98,37.14,62.04,64,7.02,4.58,29960,20.4,24.51433121,20.11146497,-22.79,-24.9,-2.11,Rep,Rep,Rural,No,59.42
Dade,95.02816416,7434,11682,0.27,0.43,0.4,0.74,87.9,0.43,9.84,16.96,81.6,63.64,19.1,6.45,39760,23.1,23.29224448,24.83307653,-65.46,-64.64,0.82,Rep,Rep,Rural,No,57.19
Dawson,106.7210549,16081,21557,0.26,0.63,0.54,1.8,88.65,0.82,7.3,15.46,83.32,74.6,37.4,3.59,51128,35.5,25.82455815,18.49515239,-72.22,-67.86,4.36,Rep,Rep,Rural,No,71.01
Decatur,46.06624912,11627,16726,0.21,0.38,37.51,1.69,54.77,0.59,4.85,41.11,58.12,69.51,13.21,9.69,33297,23.3,23.90290566,20.52493124,-18.46,-17.01,1.45,Rep,Rep,Rural,No,59.82
DeKalb,2642.891845,370711,547802,0.22,3.14,51.29,2.75,30.99,2.94,8.67,83.12,15.75,67.67,18.63,7.31,51349,48.4,16.76134808,22.68903728,63.97,67.37,3.4,Dem,Dem,Urban,Yes,60.36
Dodge,43.08415173,8070,11464,0.1,0.33,25.11,0.62,68.58,0.56,4.7,26.9,72.4,70.39,15.32,7.15,33580,21.6,24.8517097,19.04221912,-45.47,-45.5,-0.03,Rep,Rep,Rural,No,63.24
Dooly,36.85002807,4105,5966,0.1,0.35,46.46,1.66,47.3,0.55,3.57,46.55,52.59,68.81,6.37,8.24,31038,16.4,27.0365404,19.1250419,-2.05,-6.04,-3.99,Rep,Rep,Rural,No,60.57
Dougherty,285.6490918,35308,61402,0.13,0.47,64.7,0.82,25.57,0.94,7.38,69.61,29.59,57.5,3.79,4.06,32435,27.3,21.48464219,24.22233803,38.45,40.02,1.57,Dem,Dem,Suburban,No,53.44
Douglas,674.9487679,68806,101613,0.25,1.06,45.25,3.89,37.65,2.33,9.56,61.99,36.8,67.71,19.84,4.65,55852,33.7,16.10227038,23.44778719,10.78,25.19,14.41,Dem,Dem,Suburban,Yes,63.06
Early,20.80024971,5187,7340,0.1,0.29,48.3,0.31,47.08,0.38,3.54,46.98,52.48,70.67,8.4,7.88,26928,21.7,25.09536785,19.2506812,-8.02,-5.5,2.52,Rep,Rep,Rural,No,62.79
Echols,9.684494685,1441,2170,0.65,0.14,4.7,7.93,81.2,0.97,4.42,11.59,87.16,66.41,22.53,3.75,32390,14,19.76958525,22.62672811,-72.36,-75.57,-3.21,Rep,Rep,Rural,No,62.66
Effingham,112.3571279,31570,44372,0.29,0.69,12.34,2.15,74.21,1.09,9.22,24.45,73.99,71.15,34.88,8.28,56903,26,16.22419544,20.82394303,-55.64,-49.54,6.1,Rep,Rep,Rural,No,62.87
Elbert,56.10027062,9171,12330,0.13,0.59,25,1.17,67,0.77,5.34,31.39,67.89,74.38,15.07,9.1,30543,17.4,28.03730738,17.43714517,-34.54,-36.5,-1.96,Rep,Rep,Rural,No,65.28
