County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Pike,82.47026702,10720,13825,0.12,0.3,8.17,0.62,84.08,0.6,6.1,14.04,85.14,77.54,23.49,6.4,53213,22.1,19.7034358,20.04339964,-69.56,-71.1,-1.54,Rep,Rep,Rural,No,71.14
Polk,132.9230174,17399,24256,0.08,0.33,10.81,2.81,78.88,0.93,6.16,21.02,78.1,71.73,22.79,8.45,38646,18.7,22.88918206,20.11461082,-57.5,-57.08,0.42,Rep,Rep,Rural,No,63.28
Pulaski,46.95418223,4059,5712,0.14,0.54,27.38,0.88,66.74,1.14,3.19,29.98,69.11,71.06,12.78,7.05,36262,20,27.24089636,17.62955182,-37.03,-39.13,-2.1,Rep,Rep,Rural,No,64.01
Putnam,61.58890436,11855,16000,0.11,0.43,21.37,1.48,70.24,0.68,5.69,29.08,69.94,74.09,25.16,5.33,41529,26,30.94375,15.7875,-39.97,-40.86,-0.89,Rep,Rep,Rural,No,68.76
Quitman,15.91510182,1106,1553,0.9,0.39,41.6,0.84,51,0.64,4.64,44.94,54.61,71.22,5.94,6.35,28912,10.8,37.66902769,13.90856407,-10.92,-9.67,1.25,Rep,Rep,Rural,No,64.87
Rabun,43.96605314,9568,13074,0.23,0.31,0.55,1.8,89.75,0.56,6.8,20.74,78.11,73.18,20.35,3.32,34406,32.3,34.35061955,15.92473612,-60.92,-57.37,3.55,Rep,Rep,Rural,No,69.86
Randolph,17.30571642,3074,4338,0.16,0.18,54.29,0.44,40.36,0.39,4.17,54.36,45.25,70.86,6.11,5.85,26194,18.3,28.07745505,17.24296911,11.29,9.11,-2.18,Dem,Dem,Rural,No,65.01
Richmond,620.4914747,87016,135428,0.21,1.11,52.77,1.81,32.7,2.27,9.12,67.95,30.78,64.25,15.89,8.35,37882,28.9,19.97075937,23.18575184,32.43,37.17,4.74,Dem,Dem,Urban,No,55.9
Rockdale,664.5812466,44686,65573,0.22,1.27,53.71,2.96,29.13,2.33,10.39,69.92,29.12,68.15,18.67,5.61,55779,34.7,19.55682979,22.808168,25.97,40.8,14.83,Dem,Dem,Suburban,Yes,62.54
Schley,30.2797915,2275,2890,0.07,0.45,17.34,1.31,76.92,0.62,3.29,20.31,79.12,78.72,19.17,9.29,35096,22.5,21.24567474,20.31141869,-56.1,-58.81,-2.71,Rep,Rep,Rural,No,69.43
Screven,22.13765308,6628,9610,0.15,0.31,35.62,0.46,54.94,0.49,8.03,40.15,59.08,68.97,16.3,7.33,32155,20.7,25.67117586,18.0541103,-17.63,-18.93,-1.3,Rep,Rep,Rural,No,61.64
Seminole,37.42719891,3884,5937,0.13,0.24,31.18,0.76,62.56,0.62,4.51,32.29,67.22,65.42,8.43,6.03,32666,20.8,29.20667004,17.3656729,-32.28,-34.93,-2.65,Rep,Rep,Rural,No,59.39
Spalding,325.4746272,30116,46088,0.18,0.55,31.26,1.79,58.48,1.24,6.51,39.13,59.96,65.34,17.64,4.66,41100,21.8,23.95417462,20.36538795,-24.57,-20.83,3.74,Rep,Rep,Suburban,No,60.68
Stephens,143.7001061,11885,18078,0.19,0.65,9.54,1.06,81.3,0.93,6.33,20.07,78.82,65.74,21.7,5.47,34938,24.5,26.24184091,19.43799093,-59.89,-58.75,1.14,Rep,Rep,Rural,No,60.27
Stewart,12.86159615,1990,2909,0.07,0.17,58.34,0.38,36.71,0.55,3.78,59.4,40.25,68.41,-3.16,2.78,30954,14.7,28.15400481,16.56926779,20.29,19.15,-1.14,Dem,Dem,Rural,No,65.63
Sumter,65.88771494,12150,18033,0.06,0.65,48.53,1.24,45.01,0.73,3.8,52,47.18,67.38,10.72,7.35,32430,26.7,24.8211612,20.47357622,2.22,4.82,2.6,Dem,Dem,Rural,No,60.03
Talbot,16.84764557,3522,4567,0.18,0.18,52.81,0.68,41.25,0.74,4.16,60.02,39.52,77.12,8.57,7.06,33873,18.9,28.9467922,15.98423473,24.84,20.5,-4.34,Dem,Dem,Rural,No,70.06
Taliaferro,8.735419557,928,1246,0,0.08,54.65,0.8,39.97,0.72,3.77,60.45,38.79,74.48,3.46,2.76,22188,12.9,33.22632424,13.56340289,21.85,21.66,-0.19,Dem,Dem,Rural,No,71.72
Tattnall,52.89111389,8183,12216,0.12,0.38,18.91,3.2,67.3,0.85,9.24,25.19,73.97,66.99,18.84,4.08,38522,17.9,23.00261952,19.52357564,-49.6,-48.78,0.82,Rep,Rep,Rural,No,62.91
Taylor,22.57824737,3839,5405,0.06,0.26,34.49,0.85,57.98,0.44,5.92,36.13,62.99,71.03,12.75,3.6,25237,17.3,24.60684551,19.50046253,-22.56,-26.86,-4.3,Rep,Rep,Rural,No,67.43
Telfair,37.7155271,4333,6076,0.2,0.31,31.85,0.71,60.91,0.61,5.41,34.32,65.2,71.31,14.18,8.68,23876,14.3,26.15207373,18.72942725,-29.96,-30.88,-0.92,Rep,Rep,Rural,No,62.63
Terrell,27.73670403,4416,6625,0.12,0.32,54.96,0.5,37.86,0.69,5.55,53.8,45.38,66.66,5.62,3.83,27909,20.9,26.77735849,19.03396226,9.4,8.42,-0.98,Dem,Dem,Rural,No,62.83
Thomas,82.13918472,21853,30218,0.19,0.62,31.82,0.98,59.38,0.78,6.24,39.85,59.28,72.32,16.62,10.48,35797,27.7,24.55490105,18.97875438,-21.8,-19.43,2.37,Rep,Rep,Rural,No,61.84
Tift,157.278591,16283,24551,0.09,0.92,27.67,4.02,61.92,0.94,4.44,32.68,66.23,66.32,14.87,5.23,36847,28.7,21.57549591,21.79951937,-36.94,-33.55,3.39,Rep,Rep,Suburban,No,61.09
Toombs,74.92307692,10914,16227,0.07,0.5,22.51,3.01,64.89,1.04,7.98,26.93,72.13,67.26,19.79,6.33,31635,22.1,23.92925371,20.26868799,-46.94,-45.2,1.74,Rep,Rep,Rural,No,60.93
Towns,64.06099904,7979,10189,0.09,0.32,0.36,0.92,92.48,0.83,4.99,19.43,80.01,78.31,18.4,4.68,39540,34,43.51751889,11.73814898,-61.92,-60.58,1.34,Rep,Rep,Rural,No,73.63
Treutlen,34.00020056,3077,4248,0.07,0.16,28.81,0.45,65.54,0.31,4.66,30.94,68.28,72.43,13.84,8.48,36467,21.3,24.17608286,18.78531073,-35.04,-37.34,-2.3,Rep,Rep,Rural,No,63.95
Troup,165.1609942,30049,43169,0.11,0.86,32.05,1.03,59.12,1.01,5.81,38.53,60.38,69.61,15.47,10,41770,25.3,21.32085524,21.22356321,-23.2,-21.85,1.35,Rep,Rep,Suburban,No,59.61
Turner,29.75226883,3792,5604,0.18,0.48,36.88,1.23,56.71,0.55,3.96,37.18,61.95,67.67,11.73,6.35,30763,20.1,24.10778016,19.48608137,-25.02,-24.77,0.25,Rep,Rep,Rural,No,61.32
Twiggs,24.02901786,4444,6308,0.21,0.25,40.88,0.75,51.33,0.9,5.68,45.99,53.33,70.45,9.57,5.44,26521,16.2,26.29993659,17.15282181,-1.58,-7.34,-5.76,Rep,Rep,Rural,No,65.01
Union,66.94933681,15560,19235,0.11,0.41,0.23,0.96,91.29,0.94,6.07,18,81.3,80.89,29.19,8.64,41298,31.9,40.60826618,12.25370419,-65.5,-63.3,2.2,Rep,Rep,Rural,No,72.25
Upson,82.49134306,12905,18187,0.12,0.36,25.92,0.55,65.08,0.79,7.18,32.55,66.7,70.96,18.03,5.18,34509,20.9,24.04464728,20.24523011,-34.91,-34.15,0.76,Rep,Rep,Rural,No,65.78
Walker,153.3334827,29354,43050,0.16,0.32,3.17,0.65,84.58,0.71,10.41,19.65,78.95,68.19,22.53,9.84,38723,22.2,24.09988386,19.31939605,-61.51,-59.3,2.21,Rep,Rep,Rural,No,58.35
Walton,262.1530337,50811,70129,0.2,0.93,14.93,1.89,69.29,1.31,11.46,24.86,74.03,72.45,25.55,5.29,51721,26.7,20.32397439,20.83161032,-56.42,-49.17,7.25,Rep,Rep,Suburban,No,67.16
Ware,40.24269995,14192,20580,0.16,0.54,24.66,1.03,65.64,0.91,7.07,29.67,69.51,68.96,16.72,7.52,35517,20,26.06899903,18.38678328,-41.72,-39.84,1.88,Rep,Rep,Rural,No,61.44
Warren,19.78895533,2651,3789,0.13,0.21,54.92,0.32,39.48,0.66,4.28,55.41,43.98,69.97,13.63,5.4,31043,17.1,27.5006598,17.15492214,13.84,11.43,-2.41,Dem,Dem,Rural,No,64.57
Washington,30.74802859,9459,12994,0.08,0.22,47.98,0.4,45.99,0.47,4.86,50.01,49.3,72.8,11.98,6.34,31382,19.5,25.33476989,18.45467139,0.6,0.71,0.11,Dem,Dem,Rural,No,66.46
Wayne,47.00987877,12778,18164,0.15,0.45,15.51,1.49,74.34,0.79,7.26,21.03,78.16,70.35,23.03,8.57,37340,21.9,23.26580048,19.81391764,-58.85,-57.13,1.72,Rep,Rep,Rural,No,61.78
Webster,13.12165264,1390,1713,0.06,0.18,43.78,0.58,52.19,0.88,2.34,45.97,53.81,81.14,24.55,10.53,25708,17.4,25.80268535,20.08172796,-14.07,-7.84,6.23,Rep,Rep,Rural,No,70.61
Wheeler,26.84445648,2285,3169,0.06,0.06,26.19,0.88,67.53,0.5,4.76,30.15,69.28,72.1,8.71,3.43,35422,12,26.47522878,18.23919217,-36.87,-39.13,-2.26,Rep,Rep,Rural,No,68.67
White,114.6453945,14816,20630,0.23,0.33,1.12,0.92,90.01,0.63,6.75,16.27,82.49,71.82,25.74,3.9,41756,29.6,28.4100824,17.55210858,-68.63,-66.22,2.41,Rep,Rep,Rural,No,67.92
Whitfield,355.0643806,36746,54779,0.16,0.94,3.94,15.81,68.86,1.22,9.08,29.04,69.77,67.08,20.88,4.77,42345,18.8,20.70684021,24.9493419,-44.74,-40.73,4.01,Rep,Rep,Suburban,No,62.31
Wilcox,23.98993911,3281,4562,0.11,0.33,27.14,1.03,68.28,0.57,2.54,26.27,73.24,71.92,10.36,7.39,30784,14,26.65497589,18.58833845,-41.84,-46.97,-5.13,Rep,Rep,Rural,No,64.53
Wilkes,21.5616946,5029,6836,0.18,0.45,37.8,0.61,54.94,0.78,5.24,42.93,56.13,73.57,12.33,5.93,28022,18.1,29.53481568,17.71503803,-16.17,-13.2,2.97,Rep,Rep,Rural,No,67.64
Wilkinson,21.13746619,4770,6484,0.15,0.19,38.9,0.34,55.49,0.57,4.36,43.5,55.85,73.57,11.5,4.06,37902,14.2,25.27760642,18.96977175,-10.26,-12.35,-2.09,Rep,Rep,Rural,No,69.51
Worth,37.43648151,9285,13847,0.11,0.23,24.57,0.58,68.55,0.58,5.38,25.79,73.56,67.05,12.14,3.25,38670,18,24.55405503,19.30382032,-49.9,-47.77,2.13,Rep,Rep,Rural,No,63.8
